First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
John,Uppgren,13,A,2,0,0,0,0,0,4,0,3,0.75,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Isaiah,Davis-Allen,26,SSDM,8,0,0,0,0,0,1,0,1,1,0,,0,4,0,4,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Chris,Sabia,16,D,7,1,1,1,0,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Drew,Snider,23,M,5,3,2,2,0,1,10,0.2,4,0.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Tyson,Bell,94,SSDM,8,5,1,1,0,4,3,0.3333333333333333,2,0.6666666666666666,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,8.5,0,0,0,0,,0
Finn,Sullivan,36,D,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Garrett,Epple,52,D,8,1,1,1,0,0,6,0.16666666666666666,4,0.6666666666666666,4,,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,0
Connor,Buczek,33,M,4,6,4,4,0,2,17,0.23529411764705882,13,0.7647058823529411,6,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Ryland,Rees,17,LSM,8,6,3,0,3,0,9,0.3333333333333333,4,0.4444444444444444,7,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Kelly,94,G,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,0.434782608695652,13,12.999999999999998,0,0,2880,0,0,0,0,0,0,,0
Christian,Scarpello,50,M,6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Cade,Van Raaphorst,77,D,8,2,0,0,0,2,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Patrick,Harbeson,40,SSDM,5,2,1,1,0,1,1,1,1,1,0,,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
TD,Ierlan,6,FO,8,0,0,0,0,0,7,0,2,0.2857142857142857,0,,0,203,132,71,0.6502463054187192,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jordan,Wolf,33,A,1,2,0,0,0,2,3,0,2,0.6666666666666666,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mark,Cockerton,41,A,8,10,7,7,0,3,33,0.21212121212121213,25,0.7575757575757576,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0
