First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Brendan,Kavanagh,27,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Troy,Reh,10,LSM,8,1,1,1,0,0,10,0.1,6,0.6,8,,4,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,,0
Sergio,Salcido,48,M,3,1,1,1,0,0,4,0.25,3,0.75,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tucker,Durkin,51,D,8,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Miles,Thompson,,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Romar,Dennis,5,M,7,11,8,6,2,1,32,0.25,19,0.59375,14,,7,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
Jake,Froccaro,54,M,6,10,3,1,2,5,24,0.125,12,0.5,10,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,0
Eric,Scott,5,M,2,0,0,0,0,0,2,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Johnny,Surdick,18,D,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Curtis,Dickson,71,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dillon,Ward,37,G,8,1,0,0,0,1,1,0,0,0,1,,0,0,0,0,0,78,0.509803921568627,82,11.184466019417476,7,0,21115,0,0,0,0,0,0,,3
Trevor,Baptiste,9,FO,8,6,4,4,0,2,11,0.36363636363636365,8,0.7272727272727273,1,,1,208,137,71,0.6586538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Austin,Henningsen,17,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Deemer,Class,10,M,4,4,2,1,1,1,10,0.2,5,0.5,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Josh,Byrne,22,A,8,27,17,17,0,10,55,0.3090909090909091,32,0.5818181818181818,7,,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Ryan,Brown,4,A,8,20,19,19,0,1,64,0.296875,35,0.546875,6,,4,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,11,0,0,,0
Matt,Rees,44,LSM,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Jack,Rowlett,99,D,7,1,0,0,0,1,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,0,,0
Connor,Fields,5,A,8,18,10,9,1,7,36,0.2777777777777778,25,0.6944444444444444,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,4,5,0,0,,0
Eric,Law,15,A,8,20,14,14,0,6,34,0.4117647058823529,30,0.8823529411764706,2,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Jack,Rapine,9,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ian,MacKay,55,LSM,8,9,6,3,3,0,13,0.46153846153846156,7,0.5384615384615384,6,,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,0
Evan,Connell,99,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Craig,Chick,21,LSM,7,1,1,1,0,0,3,0.3333333333333333,1,0.3333333333333333,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,,0
Marcus,Holman,1,A,8,22,14,14,0,8,39,0.358974358974359,29,0.7435897435897436,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,,0
Curtis,Corley,,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bryan,Costabile,26,M,8,26,16,13,3,7,54,0.2962962962962963,28,0.5185185185185185,6,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Will,Manny,4,A,8,22,17,17,0,5,45,0.37777777777777777,33,0.7333333333333333,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,0,0,,0
Jeremy,Thompson,,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
James,Pannell,32,A,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Eli,Gobrecht,25,D,8,3,1,0,1,1,1,1,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Stephen,Kelly,24,FO,7,1,1,1,0,0,5,0.2,4,0.8,0,,0,163,75,88,0.4601226993865031,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Austin,Pifani,17,D,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Paul,Rabil,99,M,8,20,14,13,1,5,43,0.32558139534883723,33,0.7674418604651163,12,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Mark,McNeill,21,SSDM,8,0,0,0,0,0,2,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Josh,Currier,27,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Joey,Sankey,11,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kevin,Unterstein,13,M,5,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Brendan,Fowler,3,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Austin,Sims,18,M,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,McMahon,77,D,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jake,Richard,27,M,8,1,0,0,0,1,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Jordan,MacIntosh,29,M,8,17,14,14,0,3,42,0.3333333333333333,29,0.6904761904761905,3,,3,8,3,5,0.375,0,0,0,0,0,0,0,1,0.5,1,4,0,0,,0
John,Ranagan,31,M,8,8,4,4,0,4,23,0.17391304347826086,16,0.6956521739130435,4,,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Jesse,Bernhardt,36,D,2,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Manley,5,D,8,4,2,1,1,1,7,0.2857142857142857,6,0.8571428571428571,3,,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,0
John,Moderski,24,D,8,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Thomas,Kelly,24,FO,2,0,0,0,0,0,0,0,0,0,0,,0,41,11,30,0.2682926829268293,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Reece,Eddy,9,LSM,8,4,1,0,1,2,1,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,0,,0
Ryder,Garnsey,50,A,8,13,12,12,0,1,38,0.3157894736842105,20,0.5263157894736842,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Rob,Pannell,3,A,8,28,13,13,0,15,63,0.20634920634920634,36,0.5714285714285714,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,1,3,0,0,,0
Matt,Kavanagh,10,A,8,18,15,15,0,3,47,0.3191489361702128,29,0.6170212765957447,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0
Zach,Goodrich,14,SSDM,8,1,0,0,0,1,3,0,1,0.3333333333333333,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Myles,Jones,15,M,8,27,12,12,0,15,35,0.34285714285714286,23,0.6571428571428571,5,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Danny,Logan,91,SSDM,8,7,3,2,1,3,5,0.6,5,1,2,,2,16,4,12,0.25,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Sergio,Perkovic,16,M,8,21,12,8,4,5,37,0.32432432432432434,22,0.5945945945945946,11,,7,0,0,0,0,0,0,0,0,0,0,0,1,0.5,3,3,0,0,,0
Hugh,Crance,31,LSM,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Adam,Ghitelman,8,G,8,3,1,0,1,1,5,0.2,1,0.2,5,,1,0,0,0,0,95,0.616883116883117,64,10.298932782030509,5,0,17897,1,0.5,0,0,0,0,,2
Jared,Conners,28,LSM,7,0,0,0,0,0,2,0,1,0.5,1,,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Ehrhardt,28,LSM,7,7,2,0,2,3,11,0.18181818181818182,6,0.5454545454545454,8,,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
Dhane,Smith,92,M,8,17,7,7,0,10,18,0.3888888888888889,13,0.7222222222222222,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Jay,Carlson,32,A,8,15,15,15,0,0,41,0.36585365853658536,26,0.6341463414634146,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,,0
Matthew,Dunn,33,D,8,2,0,0,0,2,1,0,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Connor,Kirst,34,M,5,3,3,3,0,0,19,0.15789473684210525,12,0.631578947368421,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Grill,,D,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Bernlohr,35,G,8,0,0,0,0,0,1,0,1,1,1,,1,0,0,0,0,85,0.497076023391813,92,12.335195530726256,6,0,21480,0,0,0,0,0,0,,5
Drew,Adams,14,G,8,0,0,0,0,0,1,0,1,1,1,,1,0,0,0,0,17,0.548387096774194,17,11.252585612502873,3,0,4351,0,0,0,0,0,0,,1
Austin,Staats,83,M,1,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dox,Aitken,6,M,4,6,3,2,1,2,11,0.2727272727272727,8,0.7272727272727273,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tim,Muller,14,D,8,2,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0
Blaze,Riorden,0,G,8,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,136,0.609865470852018,93,11.701179554390563,6,0,22890,0,0,0,0,0,0,,7
Dan,Coates,57,D,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Bryce,Young,6,D,8,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Concannon,12,G,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,57,0.504424778761062,60,12.740544127405443,4,0,13563,0,0,0,0,0,0,,2
Matt,Rambo,9,A,5,15,9,9,0,6,34,0.2647058823529412,20,0.5882352941176471,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Joseph,Nardella,91,FO,8,6,1,1,0,5,7,0.14285714285714285,5,0.7142857142857143,0,,0,192,110,82,0.5729166666666666,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Tommy,Palasek,84,A,4,6,2,2,0,4,9,0.2222222222222222,5,0.5555555555555556,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Charlie,Bertrand,41,A,5,7,5,4,1,1,11,0.45454545454545453,8,0.7272727272727273,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jackson,Morrill,4,A,8,21,15,15,0,6,35,0.42857142857142855,23,0.6571428571428571,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Stephen,Rehfuss,6,M,8,22,12,12,0,10,27,0.4444444444444444,16,0.5925925925925926,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Andrew,Kew,42,A,6,13,10,10,0,3,23,0.43478260869565216,17,0.7391304347826086,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Jake,Pulver,12,D,8,1,1,1,0,0,4,0.25,2,0.5,1,,0,9,2,7,0.2222222222222222,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Brodie,Merrill,17,D,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Jack,Kielty,40,D,8,0,0,0,0,0,1,0,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Holden,Garlent,70,D,8,2,1,1,0,1,2,0.5,2,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,5,8.5,0,0,0,0,,0
Jarrod,Neumann,88,D,8,2,0,0,0,2,5,0,3,0.6,4,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chris,Cloutier,45,A,8,17,11,11,0,6,30,0.36666666666666664,21,0.7,2,,1,0,0,0,0,0,0,0,0,0,0,0,2,5.5,0,1,0,0,,0
